"K_syn","DE_lfc","adjust_method","test_method","eval_domain_col","rearrange","strict_ok","power_strict","power_raw","fdp","n_rej","n_TP","n_FP","n_test","n_DE","spatial_mode","rep","seed_used"
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",1,10201
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",2,10202
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",3,10203
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",4,10204
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",5,10205
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",6,10206
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",7,10207
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",8,10208
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",9,10209
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",10,10210
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.4,0.4,0,2,2,0,10,5,"original",11,10211
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",12,10212
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",13,10213
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",14,10214
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",15,10215
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",16,10216
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",17,10217
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",18,10218
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",19,10219
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",20,10220
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",21,10221
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",22,10222
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",23,10223
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0,0,0,0,0,0,10,5,"original",24,10224
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",25,10225
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",26,10226
3,0.25,"bonferroni","t","hat_d",TRUE,TRUE,0.2,0.2,0,1,1,0,10,5,"original",27,10227
